Id;Sex;Esc;Atv;Ric;Rend;Tvol;Pre;SG;EP;SM
24;2;1;3;2; ;2;2;1.67593850172236;2.39270818816589;-1.24797133886048
32;2;2;3;1;3500;2;1;-.00506997168402778;.756137592004054;-.33549026631766
26;2;0;3;2; ;2;1;-.370435903499713;-.0645473869838051;.412355659714081
35;2;1;3;1; ;2;1; ; ; 
39;2;1;1;2; ;2;2;1.89284650635754;1.4515923492429;-.827367231732548
52;2;1;3;1;2000;1;1;-.482635178845209;-1.0259106203573;1.20845145115848
30;2;2;3;2;4000;2;2;-.615482440557028;-.844063123939153;.262029375575565
28;2;0;2;2;850;2;2; ; ; 
28;2;1;2;2;2500;1;1; ; ; 
31;2;0;3;2;450;1;1;.862624756779826;1.00957514117594;-.538727670018727
22;2;0;1;2; ;2;1; ; ;-2.38136432698163
26;2;2;3;1;2000;1;1;-.533029864414186;-1.35672442136444;1.23653639524444
55;2;1;2;1;1500;1;1;-.259727761278664;.246827240781257;.46835473714447
42;2;2;3;1;2500;1;1;-.816544045473605;-.0623150817373882; 
28;2;1;2;1; ;2;1;1.02701081197645; ;-.994404202178231
28;2;1;3;1;3000;2;2; ; ;1.20130713480536
33;2;2;2;1;4000;2;2;-.775860364355242;-.43648716819213;-.101765520877151
30;2;2;3;1;3000;2;1; ; ;.682984747861019
31;2;2;3;1;2800;2;1;-.673642242103159;-.0499804417392599;1.1259226676043
29;2;2;3;2;3600;2;1;.58873713009719;-.180052859994175;-.164921331761044
27;2;2;1;1;2000;2;2; ; ; 
38;2;2;3;1;3000;2;1;-1.19158652434326;-1.08832681957693;.360691001137762
33;2;2;2;1;3000;2;1;-.78320937596456;-.155933808156508;.865658806737027
35;2;1;2;1;2200;2;1; ; ; 
27;2;1;2;2;3000;2;2;-.803889896310543;.38628378432871;.509599169419371
47;2;2;3;2;5000;1;1;-1.1631194269608;-2.18877118373559;1.00147965222623
26;2;2;3;1;3000;2;1;.681400559357301;2.24189084998796;-.458948287077081
32;2;2;3;1;5500;1;1;1.49079851617678;1.96800703449987;-1.16514217408096
 ;2;2; ;2; ;2;1;.778295239369978;.811285505965337;.436329045347404
34;2;2;3;1;3000;1;1; ; ; 
27;2;2;2;2;5000;1;2;-.0370621678441655;.383272886019312; 
